rank,enterprise,revenue,profit,country
180,印度石油天然气公司（OIL & NATURAL GAS),71466.1,5947.6,印度
181,广州汽车工业集团有限公司（GUANGZHOU AUTOMOBILE INDUSTRY GROUP),71386.1,345.4,中国
182,瑞银集团（UBS GROUP),71245,27849,瑞士
183,空中客车公司（AIRBUS),70751,4096.1,荷兰
184,丰田通商公司（TOYOTA TSUSHO),70498.4,2293.3,日本
185,浙江吉利控股集团有限公司（ZHEJIANG GEELY HOLDING GROUP),70356.8,812.6,中国
186,台积公司（TAIWAN SEMICONDUCTOR MANUFACTURING),69415.8,27350.4,中国
187,厦门象屿集团有限公司（XMXYG),69286.9,14.5,中国
188,雷神技术公司（RTX),68920,3195,美国
189,伊塔乌联合银行控股公司（ITAÚ UNIBANCO HOLDING),68455,6630.1,巴西
190,安赛乐米塔尔（ARCELORMITTAL),68275,919,卢森堡
191,通用电气公司（GENERAL ELECTRIC),67954,9481,美国
192,北京汽车集团有限公司（BEIJING AUTOMOTIVE GROUP),67852.2,328.1,中国
193,洛克希德－马丁（LOCKHEED MARTIN),67571,6920,美国
194,KOC集团（KOÇ HOLDING),67482.7,3037.6,土耳其
195,美国运通公司（AMERICAN EXPRESS),67364,8374,美国
196,日立（HITACHI),67313.8,4081.5,日本
197,瑞士罗氏公司（ROCHE GROUP),67269.8,12797.1,瑞士
198,丰益国际（WILMAR INTERNATIONAL),67155.3,1524.8,新加坡
199,卡特彼勒（CATERPILLAR),67060,10335,美国
200,西班牙对外银行（BANCO BILBAO VIZCAYA ARGENTARIA),66978.1,8669,西班牙
201,韩国电力公司（KOREA ELECTRIC POWER),66977.2,-3692.4,韩国
202,美国大都会集团（METLIFE),66905,1578,美国
203,日本永旺集团（AEON),66727,312.2,日本
204,英国劳埃德银行集团（LLOYDS BANKING GROUP),66697.6,6785.7,英国
205,德意志银行（DEUTSCHE BANK),65978.1,6845.3,德国
206,万科企业股份有限公司（CHINA VANKE),65789.5,1718.1,中国
207,HCA 医疗保健公司（HCA HEALTHCARE),64968,5242,美国
208,日本三井住友金融集团（SUMITOMO MITSUI FINANCIAL GROUP),64718.3,6662.7,日本
209,LG电子（LG ELECTRONICS),64490.5,545.8,韩国
210,联合利华（UNILEVER),64435.5,7012.8,英国
211,埃森哲（ACCENTURE),64111.8,6871.6,爱尔兰
212,巴克莱（BARCLAYS),63800.6,6535.9,英国
213,晋能控股集团有限公司（JINNENG HOLDING GROUP),63639.8,993.6,中国
214,中国铝业集团有限公司（ALUMINUM CORP. OF CHINA),63595.4,876.5,中国
215,慕尼黑再保险集团（MUNICH RE GROUP),63353.3,4979.4,德国
216,俄罗斯联邦储蓄银行（SBERBANK),63329.9,17743.5,俄罗斯
217,巴西银行（BANCO DO BRASIL),63322.2,5980.4,巴西
218,前进保险公司（PROGRESSIVE),62108.5,3902.4,美国
219,国际商业机器公司（INTERNATIONAL BUSINESS MACHINES),61860,7502,美国
